n,k,PMI,fit0,fit1,fit2,fit3,fit4
12,3,tr,-21.441564698910533,-27.18019331064211,-23.402157046634425,-21.61427796239367,-37.7971379214916
12,3,tc,-28.1618352640791,-37.378761193074965,-26.910573228103818,-25.30458941785442,-34.926962640170906
12,4,tr,-48.46828831282777,3.7054655998010397,-31.98496487832642,-26.190400677915775,-43.125234100594795
12,4,tc,40.786626866532195,93.44113751950267,51.68096346724052,40.905091030281284,32.607273335494504
12,5,tr,353.93452361815514,281.35587486169993,352.5903776660426,349.24099575012957,596.840503759219
12,5,tc,313.4514887909731,291.2543286883999,314.249236786914,279.6417454015385,431.0814175214754
12,6,tr,-282.03425119678394,-770.9960603549671,-609.8872284512107,-440.93000642871806,-744.8233099480374
12,6,tc,-1053.1687094057884,-1551.8668453334476,-1370.6840932639298,-1018.131271303951,-1379.5904512030834
12,7,tr,-1289.023047844726,218.62369914553008,-261.62365560197827,-1132.7439527002912,-2135.965950524506
12,7,tc,-1046.966386675127,226.65912892928955,-172.7574484116827,-714.6422029210596,-930.8322306342299
12,8,tr,3786.867429624614,2796.8396111595866,2900.783595067669,3469.889469464167,5413.271901741443
12,8,tc,8415.490014751193,7327.018384840601,7717.3739233357965,7440.189720071075,9450.809020038438
12,9,tr,-5273.219303100838,-4957.758238338398,-5616.048447201272,-3874.2346242523117,-3176.3035521241422
12,9,tc,-6600.842639110469,-6825.077049763381,-6669.7211875522635,-6294.387323691407,-8352.805083834357
12,10,tr,5069.192605719919,4809.772769383415,5727.860534696748,4751.921881755346,3687.416791963479
12,10,tc,-9871.86979549268,-9890.239933379351,-9930.94130284976,-8898.936813534954,-10042.465997141015
12,11,tr,-821.569363225482,-3030.0417399148587,-1000.9743573419705,-2185.5619008937074,-4563.651809087047
12,11,tc,3094.416679975368,4740.513812403967,3308.5093474585183,3663.5137354540902,5326.321661265984
12,12,tr,-4359.364562981646,-5775.923573035719,-5065.986922858636,-4923.86770375449,-4625.98701070769
12,12,tc,13959.931935408078,13976.3446457411,14209.348563538913,12367.395132647302,13429.172200038143
12,13,tr,2839.7418723665146,1391.644857685399,2827.05123311623,1185.3229837725967,-211.5933699263715
